Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for bsd-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:38:55 by "java_re" with gcc 4.2.1 Compatible Apple LLVM 10.0.0 (clang-1000.11.45.5)
Memory: 4k page, physical 16777216k(296452k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=268435456 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
0.142: [GC (Allocation Failure) [PSYoungGen: 65536K->10737K(76288K)] 65536K->17907K(251392K), 0.0067215 secs] [Times: user=0.01 sys=0.02, real=0.01 secs] 
0.160: [GC (Allocation Failure) [PSYoungGen: 76273K->10749K(76288K)] 83443K->38720K(251392K), 0.0102492 secs] [Times: user=0.02 sys=0.05, real=0.01 secs] 
0.176: [GC (Allocation Failure) [PSYoungGen: 76144K->10751K(76288K)] 104115K->59108K(251392K), 0.0081384 secs] [Times: user=0.02 sys=0.02, real=0.01 secs] 
0.193: [GC (Allocation Failure) [PSYoungGen: 76287K->10751K(76288K)] 124644K->79031K(251392K), 0.0077479 secs] [Times: user=0.01 sys=0.03, real=0.01 secs] 
0.209: [GC (Allocation Failure) [PSYoungGen: 76287K->10743K(76288K)] 144567K->102270K(251392K), 0.0086292 secs] [Times: user=0.02 sys=0.03, real=0.00 secs] 
0.226: [GC (Allocation Failure) [PSYoungGen: 76279K->10748K(40448K)] 167806K->123602K(215552K), 0.0082685 secs] [Times: user=0.02 sys=0.03, real=0.01 secs] 
0.237: [GC (Allocation Failure) [PSYoungGen: 40444K->17466K(58368K)] 153298K->132372K(233472K), 0.0019163 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
0.243: [GC (Allocation Failure) [PSYoungGen: 47135K->21202K(58368K)] 162041K->138559K(233472K), 0.0022109 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
0.250: [GC (Allocation Failure) [PSYoungGen: 50155K->25078K(58368K)] 167513K->148754K(233472K), 0.0037770 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
0.256: [GC (Allocation Failure) [PSYoungGen: 54774K->21972K(58368K)] 178450K->159833K(233472K), 0.0050514 secs] [Times: user=0.01 sys=0.02, real=0.01 secs] 
0.264: [GC (Allocation Failure) [PSYoungGen: 51399K->9883K(58368K)] 189260K->169369K(233472K), 0.0077638 secs] [Times: user=0.01 sys=0.03, real=0.01 secs] 
0.272: [Full GC (Ergonomics) [PSYoungGen: 9883K->0K(58368K)] [ParOldGen: 159486K->144605K(175104K)] 169369K->144605K(233472K), [Metaspace: 2580K->2580K(1056768K)], 0.0129434 secs] [Times: user=0.07 sys=0.00, real=0.01 secs] 
0.288: [GC (Allocation Failure) [PSYoungGen: 29696K->11281K(58368K)] 174301K->155886K(233472K), 0.0011660 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.293: [GC (Allocation Failure) [PSYoungGen: 40910K->12020K(58368K)] 185516K->166989K(233472K), 0.0014879 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.294: [Full GC (Ergonomics) [PSYoungGen: 12020K->0K(58368K)] [ParOldGen: 154969K->162564K(175104K)] 166989K->162564K(233472K), [Metaspace: 2580K->2580K(1056768K)], 0.0115481 secs] [Times: user=0.07 sys=0.01, real=0.01 secs] 
0.309: [Full GC (Ergonomics) [PSYoungGen: 29687K->0K(58368K)] [ParOldGen: 162564K->171937K(175104K)] 192251K->171937K(233472K), [Metaspace: 2580K->2580K(1056768K)], 0.0144901 secs] [Times: user=0.05 sys=0.01, real=0.01 secs] 
0.327: [Full GC (Ergonomics) [PSYoungGen: 29271K->1283K(58368K)] [ParOldGen: 171937K->174868K(175104K)] 201208K->176152K(233472K), [Metaspace: 2580K->2580K(1056768K)], 0.0131358 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
0.344: [Full GC (Ergonomics) [PSYoungGen: 29604K->4383K(58368K)] [ParOldGen: 174868K->175099K(175104K)] 204473K->179483K(233472K), [Metaspace: 2580K->2580K(1056768K)], 0.0133654 secs] [Times: user=0.08 sys=0.01, real=0.01 secs] 
0.361: [Full GC (Ergonomics) [PSYoungGen: 29553K->7439K(58368K)] [ParOldGen: 175099K->175013K(175104K)] 204653K->182453K(233472K), [Metaspace: 2580K->2580K(1056768K)], 0.0124975 secs] [Times: user=0.07 sys=0.00, real=0.01 secs] 
0.376: [Full GC (Ergonomics) [PSYoungGen: 29602K->10274K(58368K)] [ParOldGen: 175013K->175037K(175104K)] 204616K->185311K(233472K), [Metaspace: 2580K->2580K(1056768K)], 0.0125460 secs] [Times: user=0.08 sys=0.00, real=0.01 secs] 
0.391: [Full GC (Ergonomics) [PSYoungGen: 29670K->12370K(58368K)] [ParOldGen: 175037K->174605K(175104K)] 204707K->186976K(233472K), [Metaspace: 2580K->2580K(1056768K)], 0.0132296 secs] [Times: user=0.07 sys=0.00, real=0.01 secs] 
